,Letters,Numbers
0,R,19
1,I,2
2,F,7
3,P,3
4,T,5
5,O,15
6,F,11
7,F,1
8,Z,17
9,O,7
10,R,15
11,I,12
12,Y,11
13,X,12
14,A,15
15,J,17
16,M,10
17,P,20
18,M,16
19,X,14
20,E,16
21,O,2
22,C,12
23,U,8
24,E,6
25,R,14
26,S,14
27,E,6
28,G,18
29,T,8
30,G,8
31,F,10
32,J,19
33,S,6
34,Q,9
35,Y,19
36,I,3
37,Y,8
38,S,14
39,D,9
40,K,14
41,E,3
42,M,16
43,S,4
44,H,4
45,I,7
46,N,19
47,N,20
48,J,8
49,G,1
50,T,18
51,Q,12
52,E,19
53,X,20
54,F,12
55,F,14
56,G,15
57,T,5
58,E,1
59,B,19
60,I,9
61,X,14
62,S,14
63,P,11
64,Q,14
65,D,7
66,U,2
67,P,12
68,U,6
69,F,7
70,X,14
71,E,6
72,Y,5
73,Y,13
74,F,11
75,I,17
76,X,5
77,I,20
78,M,12
79,T,18
80,C,4
81,Z,4
82,A,7
83,T,12
84,F,8
85,H,19
86,T,6
87,M,6
88,X,18
89,J,11
90,L,14
91,E,3
92,K,7
93,F,3
94,D,18
95,U,8
96,N,19
97,V,3
98,C,12
99,L,1
100,T,19
101,X,9
102,J,3
103,H,15
104,V,4
105,G,8
106,N,18
107,L,16
108,U,18
109,H,1
110,J,16
111,Z,15
112,A,12
113,Q,2
114,Z,7
115,U,10
116,O,4
117,I,12
118,Q,10
119,Y,6
120,L,9
121,X,12
122,B,13
123,Q,1
124,Q,17
125,N,7
126,U,5
127,X,18
128,F,6
129,W,16
130,S,9
131,R,11
132,Z,11
133,Y,16
134,P,17
135,D,17
136,R,8
137,E,19
138,F,6
139,V,10
140,U,16
141,J,1
142,E,5
143,M,20
144,J,10
145,I,3
146,N,5
147,H,16
148,O,10
149,J,19
150,K,17
151,W,15
152,A,8
153,Q,2
154,W,14
155,Y,6
156,E,14
157,Z,4
158,D,19
159,R,8
160,H,16
161,W,1
162,I,18
163,J,3
164,T,11
165,B,17
166,Q,20
167,F,11
168,P,16
169,A,9
170,W,17
171,M,14
172,Q,20
173,B,19
174,W,8
175,B,7
176,T,4
177,U,7
178,O,6
179,F,6
180,B,20
181,Q,6
182,R,3
183,T,3
184,U,19
185,Y,10
186,H,16
187,N,7
188,R,15
189,C,3
190,G,17
191,R,8
192,D,8
193,O,16
194,F,13
195,D,7
196,Z,15
197,Y,14
198,E,11
199,N,7
200,A,4
201,I,7
202,F,19
203,M,18
204,M,19
205,C,19
206,A,18
207,P,10
208,G,11
209,T,17
210,B,3
211,Y,8
212,Q,4
213,G,4
214,Y,10
215,O,3
216,H,18
217,U,4
218,Z,8
219,E,18
220,U,17
221,Q,6
222,P,14
223,N,8
224,Y,18
225,Y,3
226,B,6
227,C,16
228,X,8
229,K,20
230,K,10
231,P,18
232,L,18
233,Z,3
234,U,16
235,A,10
236,V,1
237,U,14
238,E,17
239,A,10
240,A,8
241,D,7
242,W,2
243,H,9
244,B,13
245,K,15
246,M,19
247,F,17
248,I,13
249,Y,18
250,C,10
251,X,20
252,P,18
253,H,17
254,S,18
255,N,15
256,Z,10
257,O,3
258,Z,18
259,L,10
260,T,4
261,P,1
262,C,16
263,U,12
264,S,1
265,R,15
266,X,12
267,T,18
268,U,18
269,W,5
270,W,5
271,E,19
272,L,11
273,B,2
274,P,14
275,K,14
276,V,12
277,H,6
278,J,5
279,D,9
280,L,4
281,V,6
282,O,20
283,V,12
284,T,11
285,R,4
286,L,16
287,D,5
288,E,18
289,J,6
290,F,19
291,Y,15
292,M,13
293,N,15
294,Y,11
295,Z,5
296,G,8
297,K,20
298,U,5
299,E,11
300,F,8
301,Y,20
302,A,12
303,G,3
304,N,2
305,M,5
306,R,19
307,U,13
308,M,10
309,F,5
310,X,18
311,A,12
312,L,18
313,T,4
314,U,3
315,W,12
316,T,10
317,D,8
318,X,2
319,V,1
320,R,9
321,B,8
322,F,7
323,O,2
324,R,18
325,N,12
326,B,14
327,R,7
328,L,14
329,V,20
330,X,19
331,M,18
332,D,4
333,Y,14
334,H,19
335,Z,20
336,I,13
337,Z,11
338,M,10
339,H,20
340,D,3
341,G,3
342,F,19
343,O,19
344,G,14
345,K,1
346,I,1
347,H,3
348,X,16
349,C,12
350,U,5
351,R,20
352,D,17
353,P,3
354,I,3
355,K,9
356,D,17
357,K,12
358,R,19
359,I,8
360,G,11
361,U,16
362,H,15
363,F,13
364,K,9
365,Q,8
366,L,14
367,R,18
368,V,1
369,W,13
370,R,19
371,Z,15
372,C,8
373,Y,2
374,L,14
375,O,14
376,J,6
377,Q,1
378,Q,16
379,G,17
380,T,12
381,I,3
382,G,10
383,R,10
384,G,9
385,N,19
386,E,1
387,Q,10
388,J,6
389,Q,11
390,Q,7
391,H,5
392,P,6
393,A,16
394,V,3
395,G,1
396,K,13
397,U,11
398,O,11
399,C,15
400,R,15
401,Y,19
402,B,18
403,U,17
404,E,16
405,K,14
406,A,20
407,R,4
408,T,7
409,O,10
410,W,16
411,N,1
412,W,15
413,W,20
414,P,5
415,B,19
416,H,14
417,N,13
418,R,2
419,S,10
420,Q,3
421,K,4
422,Z,12
423,V,8
424,T,10
425,V,7
426,X,11
427,W,8
428,J,2
429,B,2
430,H,12
431,I,6
432,I,11
433,J,19
434,E,1
435,Y,19
436,O,18
437,T,1
438,J,6
439,U,13
440,Q,10
441,Z,5
442,F,7
443,U,15
444,U,20
445,M,11
446,E,5
447,A,18
448,R,4
449,Z,15
450,I,8
451,I,14
452,U,3
453,C,8
454,P,16
455,Q,15
456,O,15
457,Z,13
458,K,3
459,U,2
460,K,19
461,U,11
462,X,8
463,Y,2
464,C,10
465,Z,16
466,T,5
467,K,3
468,N,12
469,P,1
470,F,12
471,P,11
472,F,4
473,L,15
474,X,10
475,J,13
476,C,5
477,D,10
478,L,15
479,W,8
480,F,8
481,X,7
482,E,3
483,T,3
484,Y,17
485,O,10
486,R,4
487,A,5
488,W,20
489,W,17
490,Q,20
491,A,19
492,M,18
493,I,15
494,N,7
495,L,9
496,O,7
497,Z,9
498,W,5
499,N,7
